id,Número do Incidente,label,predicted,Nota1,Nota2,Comentário
0,INC000026485325,elogio,elogio,4,5,muito bom o atendimento de samuel garcia ambrósio
1,INC000026558046,elogio,elogio,4,5,parabéns a todos!
2,INC000026566395,elogio,elogio,5,5,ótimo atendimento
3,INC000026567913,elogio,elogio,5,5,ótimo atendimento. técnico super atencioso
4,INC000026578758,elogio,elogio,4,5,agradeço imensamente ao empregado que me ajudou. parabéns
5,INC000026587038,elogio,elogio,5,5,excelente atendimento
6,INC000026603293,elogio,elogio,5,5,excelente atendimento realizado pelo profissional bruno gonçalves
7,INC000026603426,elogio,elogio,5,5,fui muito bem atendido
8,INC000026611219,elogio,elogio,5,5,muito satisfeito com o atendimentio
9,INC000026614200,elogio,elogio,5,5,atendimento eficiente e rápido. grato pela atenção de sempre
10,INC000026621181,elogio,elogio,5,5,fui muito bem atendida
11,INC000026621403,elogio,elogio,5,5,atendimento vip
12,INC000026624525,elogio,elogio,5,1,"atendimento excelente, técnico passa confiança ao transparecer saber o que está fazendo e o resultado comprova essa impressão"
13,INC000026624876,elogio,elogio,5,5,atendimento extremamente ágil
14,INC000026625024,elogio,elogio,5,5,excelente
15,INC000026626086,elogio,elogio,5,5,"parabenizo à equipe pela cordialidade, eficiência e rápido atendimento a solicitação"
16,INC000026626265,elogio,elogio,5,5,parabenizo a equipe local pela eficiência e rápido atendimento à solicitação
17,INC000026626797,elogio,reclamação,1,1,"fui muito bem atendida, mas não obtive resultado"
18,INC000026627360,elogio,elogio,5,5,"ótima qualidade no atendimento, muito rápido!!!"
19,INC000026627412,elogio,elogio,5,5,"como sempre, um ótimo atendimento!"
20,INC000026627584,elogio,elogio,5,5,trabalho simplismente perfeito
21,INC000026628540,elogio,elogio,5,5,atendente atencioso e eficiente
22,INC000026630486,elogio,elogio,5,5,"elogio o trabalho do felipe mafra, solicitei aumento de cota em disco, como não especifiquei o valor ele verificou que estava próximo ao limite, não conseguiu me localizar, mas aumentou em 15%. é isso que espero da tic. com outros profissionais ele tentaria contato, não conseguia fechava a solicitação e pronto"
23,INC000026631517,elogio,elogio,5,5,ótimo atendimento
24,INC000026631728,elogio,elogio,4,5,obrigado pelo apoio e bom atendimento de qualidade
25,INC000026632184,elogio,elogio,5,5,"atendimento foi bem realizado, e ainda tive a oportunidade de retirar algumas duvidas sobre o sasbe. grato pela dedicação"
26,INC000026633465,elogio,elogio,5,5,ótimo atendimento
27,INC000026634961,elogio,elogio,5,5,ótimo atendimento
28,INC000026635247,elogio,elogio,5,5,excelente o atendimento
29,INC000026636342,elogio,elogio,5,5,serviço rápido e eficiente
30,INC000026636375,elogio,elogio,5,5,"parabéns, pela presteza no atendimento, ótimo"
31,INC000026638426,elogio,elogio,5,5,atendimento muito atencioso e rápido
32,INC000026638820,elogio,elogio,5,5,atendimento rapido e eficiente. parabens!
33,INC000026639351,elogio,elogio,5,5,excelente trabalho
34,INC000026639491,elogio,elogio,5,5,excelente atendimento
35,INC000026639441,elogio,elogio,5,5,"obgda., jomile!"
36,INC000026639452,elogio,elogio,5,5,resolvido rápido
37,INC000026640295,elogio,elogio,5,5,excelente atendimento
38,INC000026640492,elogio,neutro,5,5,otimo
39,INC000026641084,elogio,elogio,5,5,muito obrigado !
40,INC000026641285,elogio,elogio,5,5,excelente atendimento
41,INC000026641257,elogio,elogio,5,5,excelente atendimento
42,INC000026641449,elogio,elogio,5,5,excelente atendimento
43,INC000026641940,elogio,elogio,5,5,presteza e rapidez
44,INC000026641990,elogio,elogio,5,5,a demanda foi tratada com rapidez e correção
45,INC000026642216,elogio,elogio,5,5,equipe do atendimento ao sap r3 super eficaz
46,INC000026643038,elogio,elogio,4,5,"deu tudo certo, obrigado"
47,INC000026643581,elogio,elogio,5,5,rápido e eficiente
48,INC000026643587,elogio,elogio,4,5,atendimento bom e cortês
49,INC000026643424,elogio,elogio,5,5,muito satisfeita
50,INC000026643652,elogio,elogio,5,5,excelente atendente. atendimento ótimo. muito obrigado
51,INC000026643667,elogio,elogio,5,5,excelente atendimento
52,INC000026643615,elogio,elogio,4,5,atendimento bom e cortês
53,INC000026643745,elogio,elogio,5,5,"atendimento vip, parabens a toda equipe"
54,INC000026643795,elogio,elogio,5,5,muito eficiente e completamente eficaz na identificação e resolução do problema
55,INC000026643719,elogio,elogio,5,5,excelente profissional
56,INC000026643893,elogio,elogio,5,5,"o colaborador se mostrou empenhado na resolução do problema, buscando alternativas dentro dos procedimentos vigentes, para obter sucesso"
57,INC000026643869,elogio,elogio,5,5,atendimento perfeito
58,INC000026643874,elogio,elogio,5,1,atendimento perfeito apesar de não ter conseguido resolver o problema. fui encaminhado para o apoio local
59,INC000026643967,elogio,elogio,5,5,ótimo atendimento
60,INC000026644162,elogio,elogio,5,5,obrigada pela atenção. ótimo atendimento
61,INC000026644630,elogio,elogio,5,5,obrigada
62,INC000026644501,elogio,elogio,5,5,tempo para resolução do chamado foi ótimo
63,INC000026644886,elogio,elogio,5,5,muito rápido o atendimento
64,INC000026644811,elogio,elogio,5,5,excelente trabalho!
65,INC000026645005,elogio,elogio,4,5,atendimento bom e cortês
66,INC000026645240,elogio,elogio,5,5,ótimo atendimento.
67,INC000026645185,elogio,elogio,5,5,excelente atendimento
68,INC000026645483,elogio,elogio,5,5,perfeito
69,INC000026645268,elogio,elogio,4,5,atendimento eficiente e cortês
70,INC000026645545,elogio,elogio,5,5,fui muito bem atendido por um profissional focado na pronta solução
71,INC000026645412,elogio,elogio,5,5,"excelente atendimento, o técnico foi muito atencioso, dedicado com presteza e educação. serviço rápido e eficiente nota 1000."
72,INC000026645473,elogio,elogio,5,5,muito obrigado pelo atendimento prestado. seria difícil para mim identificar o problema sem a ajuda prestada
73,INC000026645426,elogio,elogio,5,5,atendente muito atencioso e solicito. parabéns!
74,INC000026645610,elogio,elogio,5,5,ótimo atendimento
75,INC000026645641,elogio,elogio,5,5,muito obrigado pela prestatividade
76,INC000026645524,elogio,elogio,5,5,excelente trabalho 100%
77,INC000026645685,elogio,elogio,5,5,"educação, cordialidade, competência e presteza no atendimento. agradeço toda a ajuda"
78,INC000026645681,elogio,elogio,5,5,fui atendido com excelência pela helpdesk. parabéns a esta menina fantástica
79,INC000026645712,elogio,elogio,5,5,colaborador muito comprometido em concluir o chamado com sucesso
80,INC000026645705,elogio,elogio,5,5,muito eficiente
81,INC000026645781,elogio,elogio,5,5,"parabéns a atendente: educada, atenciosa e competente"
82,INC000026645800,elogio,elogio,5,5,"como sempre, fui muito bem atendida pelo técnico rômulo sampaio"
83,INC000026645817,elogio,elogio,5,5,fui muito bem atendida pelos dois tiago e larissa. rápidos e eficientes!
84,INC000026645927,elogio,elogio,5,5,colaboradora atenciosa e pré disposta a ajudar
85,INC000026645940,elogio,elogio,5,5,eficiente e rápido
86,INC000026646047,elogio,elogio,5,5,excelente o atendimento
87,INC000026646403,elogio,elogio,5,5,parabenizar o atendimento e principalmente o facilitador local pela agilidade e presteza no atendimento
88,INC000026646414,elogio,elogio,5,5,"excelente atendimento, solucionou meu problema e me garantiu diversos esclarecimentos importantes."
89,INC000026646465,elogio,elogio,5,5,agradeço o pronto-atendimento e atenção
90,INC000026646323,elogio,elogio,5,5,"parabéns pelo excelente atendimento da técnica, que com calma e eficiência conseguiu resolver todas as necessidades"
91,INC000026646650,elogio,elogio,5,5,atendimento nota 1000 imediato
92,INC000026646797,elogio,elogio,5,5,excelente atendimento
93,INC000026646807,elogio,elogio,5,5,excelente o atendimento
94,INC000026646981,elogio,elogio,5,5,excelente atendimento
95,INC000026646863,elogio,elogio,4,5,"prezados, obrigado"
96,INC000026646873,elogio,elogio,5,5,ótimo atendimento
97,INC000026647097,elogio,neutro,5,1,foi informado que o procedimento transpetro é por dip. grata
98,INC000026647291,elogio,elogio,5,5,rápido e eficiente
99,INC000026647306,elogio,elogio,5,5,ótimo atendimento
100,INC000026647336,elogio,elogio,5,5,excelente!
101,INC000026647820,elogio,elogio,5,1,"nota cinco pelo atendimento e cordialidade, mas o problema foi repassado para o pessoal da petronect para solução"
102,INC000026648050,elogio,elogio,5,5,excelente pela atendimento
103,INC000026647777,elogio,elogio,5,5,excelente atendimento do técnico paulo alexandre
104,INC000026648523,elogio,elogio,5,5,o retorno não foi imediato mas ocorreu rapidamente. a questão foi prontamente solucionada
105,INC000026648931,elogio,elogio,5,5,"educação, cordialidade, competência e presteza no atendimento. agradeço toda a ajuda"
106,INC000026649087,elogio,elogio,5,5,muito eficiente a solução do problema relatado!
107,INC000026649234,elogio,elogio,5,5,"arturo é sempre prestativo e eficiente, merece elogios"
108,INC000026649806,elogio,elogio,5,5,atendimento rápido e eficiente
109,INC000026649724,elogio,neutro,5,5,parabens!!
110,INC000026650015,elogio,elogio,5,5,excelente atendimento. linguagem simples e orientação prática
111,INC000026650055,elogio,elogio,5,5,atendimento 10
112,INC000026649872,elogio,elogio,5,5,rápido e sem burocracia. obrigado!
113,INC000026649914,elogio,elogio,5,5,serviço prestado com qualidade
114,INC000026650645,elogio,elogio,5,5,atendente solícito e ajudou bastante
115,INC000026650573,elogio,elogio,5,5,serviço bem prestado
116,INC000026650792,elogio,elogio,5,5,"ótimo atendimento, com riquezas de detalhes, explicações plausíveis do andamento do processo e ótima comunicação... demonstrou agilidade e destreza no que fora pedido. 100% satisfeito"
117,INC000026650842,elogio,elogio,5,5,"sim, fui atendido rapiadamente com satisfação."
118,INC000026650891,elogio,elogio,5,5,excelente atendimento. parabéns!
119,INC000026650903,elogio,elogio,5,5,trabalho bem executado
120,INC000026650937,elogio,elogio,5,5,muito bom o serviço prestado pelo funcionário bruno
121,INC000026650919,elogio,elogio,5,5,"parabenizo o técnico que realizou o atendimento. além de verificar rapidamente o problema, também avaliou por sua própria iniciativa a performance do micro. está realmente de parabéns. também realizou instalação e corrigiu instalação de programas que não foram atualizados corretamente de forma automática. um bom exemplo para outros técnicos"
122,INC000026651248,elogio,elogio,5,5,atendimento superou a expectativa
123,INC000026651250,elogio,elogio,5,5,atendimento superou a expectativa
124,INC000026651414,elogio,elogio,5,5,excelente suporte e atendimento!!! obrigada!!!
